Brand_Name,Smartphone Name,Colour,RAM,Storage(ROM),Primary Camera,Dual Camera,Display Size,Battery Capacity,Price,URL
OnePlus,Nord N20 SE,Blue Oasis,4 MB,64 MB,50MP Rear Camera,Primary Camera,16.66 cm (6.56 inch),5000 mAh,"₹14,499",https://www.flipkart.com/oneplus-nord-n20-se-blue-oasis-64-mb/p/itme892a7e63b13a?pid=MOBGJTBA9HGYXGUG&lid=LSTMOBGJTBA9HGYXGUGJVYQI0&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=003cc353-2dea-489a-80fd-eeec8187e1e8.MOBGJTBA9HGYXGUG.SEARCH&ppt=hp&ppn=homepage&ssid=fmwzviv8hs0000001669302919879&qH=53863d4d978d5074
OnePlus,Nord 2T 5G,Gray Shadow,12 GB,256 GB,50MP Rear Camera,Primary & Secondary Camera,17.02 cm (6.7 inch),4500 mAh,"₹33,999",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-256-gb/p/itm97eda8b1a1566?pid=MOBGHHYEMNFZGE4W&lid=LSTMOBGHHYEMNFZGE4WPJRSD1&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=003cc353-2dea-489a-80fd-eeec8187e1e8.MOBGHHYEMNFZGE4W.SEARCH&ppt=hp&ppn=homepage&ssid=fmwzviv8hs0000001669302919879&qH=53863d4d978d5074
OnePlus,Nord CE 2 5G,Gray Mirror,8 GB,128 GB,64MP Rear Camera,Primary Camera,16.33 cm (6.43 inch),4500 mAh,"₹24,999",https://www.flipkart.com/oneplus-nord-ce-2-5g-gray-mirror-128-gb/p/itm2a9883679c57c?pid=MOBGDHWMFQBKFV5F&lid=LSTMOBGDHWMFQBKFV5FQND4BQ&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=003cc353-2dea-489a-80fd-eeec8187e1e8.MOBGDHWMFQBKFV5F.SEARCH&ppt=hp&ppn=homepage&ssid=fmwzviv8hs0000001669302919879&qH=53863d4d978d5074
OnePlus,Nord 2T 5G,Jade Fog,8 GB,128 GB,50MP Rear Camera,Primary & Secondary Camera,17.02 cm (6.7 inch),4500 mAh,"₹28,999",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm97eda8b1a1566?pid=MOBGHHYZVXCMYDSR&lid=LSTMOBGHHYZVXCMYDSRN0GOJY&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=003cc353-2dea-489a-80fd-eeec8187e1e8.MOBGHHYZVXCMYDSR.SEARCH&ppt=hp&ppn=homepage&ssid=fmwzviv8hs0000001669302919879&qH=53863d4d978d5074
OnePlus,Nord 2T 5G,Gray Shadow,12 GB,256 GB,50MP Rear Camera,Primary & Secondary Camera,16.94 cm (6.67 inch),4500 mAh,"₹33,869",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-256-gb/p/itm97eda8b1a1566?pid=MOBGGCHFNMZDKZTV&lid=LSTMOBGGCHFNMZDKZTVBJYMHD&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=003cc353-2dea-489a-80fd-eeec8187e1e8.MOBGGCHFNMZDKZTV.SEARCH&ppt=hp&ppn=homepage&ssid=fmwzviv8hs0000001669302919879&qH=53863d4d978d5074
OnePlus,Nord 2T 5G,Jade Fog,12 GB,256 GB,50MP Rear Camera,Primary & Secondary Camera,17.02 cm (6.7 inch),4500 mAh,"₹33,999",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-256-gb/p/itm97eda8b1a1566?pid=MOBGGA29UT2G9QW3&lid=LSTMOBGGA29UT2G9QW3HVHOEB&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=003cc353-2dea-489a-80fd-eeec8187e1e8.MOBGGA29UT2G9QW3.SEARCH&ppt=hp&ppn=homepage&ssid=fmwzviv8hs0000001669302919879&qH=53863d4d978d5074
OnePlus,Nord 2T 5G,Jade Fog,8 GB,128 GB,50MP Rear Camera,Primary & Secondary Camera,17.02 cm (6.7 inch),4500 mAh,"₹28,888",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm97eda8b1a1566?pid=MOBGGA29ZTGXG92P&lid=LSTMOBGGA29ZTGXG92PSIMHAI&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=003cc353-2dea-489a-80fd-eeec8187e1e8.MOBGGA29ZTGXG92P.SEARCH&ppt=hp&ppn=homepage&ssid=fmwzviv8hs0000001669302919879&qH=53863d4d978d5074
OnePlus,Nord,Gray Onyx,12 GB,256 GB,--,48MP + 8MP,16.36 cm (6.44 inch),--,"₹29,999",https://www.flipkart.com/oneplus-nord-gray-onyx-256-gb/p/itm49f817b591982?pid=MOBFUE5GGWHFC37J&lid=LSTMOBFUE5GGWHFC37JNXZLYZ&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=003cc353-2dea-489a-80fd-eeec8187e1e8.MOBFUE5GGWHFC37J.SEARCH&ppt=hp&ppn=homepage&ssid=fmwzviv8hs0000001669302919879&qH=53863d4d978d5074
OnePlus,Nord,Gray Onyx,6 GB,64 GB,--,48MP + 8MP,16.36 cm (6.44 inch),--,"₹24,999",https://www.flipkart.com/oneplus-nord-gray-onyx-64-gb/p/itm49f817b591982?pid=MOBFUE5H57THFNVJ&lid=LSTMOBFUE5H57THFNVJSYCAHJ&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=003cc353-2dea-489a-80fd-eeec8187e1e8.MOBFUE5H57THFNVJ.SEARCH&ppt=hp&ppn=homepage&ssid=fmwzviv8hs0000001669302919879&qH=53863d4d978d5074
OnePlus,Nord,Blue Marble,12 GB,256 GB,--,48MP + 8MP,16.36 cm (6.44 inch),--,"₹29,999",https://www.flipkart.com/oneplus-nord-blue-marble-256-gb/p/itm49f817b591982?pid=MOBFUE5HUU5ZYGRY&lid=LSTMOBFUE5HUU5ZYGRY4ZWZZN&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=003cc353-2dea-489a-80fd-eeec8187e1e8.MOBFUE5HUU5ZYGRY.SEARCH&ppt=hp&ppn=homepage&ssid=fmwzviv8hs0000001669302919879&qH=53863d4d978d5074
OnePlus,Nord,Gray Onyx,8 GB,128 GB,--,48MP + 8MP,16.36 cm (6.44 inch),--,"₹27,999",https://www.flipkart.com/oneplus-nord-gray-onyx-128-gb/p/itm49f817b591982?pid=MOBFUE5HW4XUUGBN&lid=LSTMOBFUE5HW4XUUGBNMZB8TR&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=003cc353-2dea-489a-80fd-eeec8187e1e8.MOBFUE5HW4XUUGBN.SEARCH&ppt=hp&ppn=homepage&ssid=fmwzviv8hs0000001669302919879&qH=53863d4d978d5074
OnePlus,Nord,Blue Marble,8 GB,128 GB,--,48MP + 8MP,16.36 cm (6.44 inch),--,"₹27,999",https://www.flipkart.com/oneplus-nord-blue-marble-128-gb/p/itm49f817b591982?pid=MOBFUE5JWYDZX6HX&lid=LSTMOBFUE5JWYDZX6HXJZSHIV&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=003cc353-2dea-489a-80fd-eeec8187e1e8.MOBFUE5JWYDZX6HX.SEARCH&ppt=hp&ppn=homepage&ssid=fmwzviv8hs0000001669302919879&qH=53863d4d978d5074
OnePlus,Nord,Blue Marble,6 GB,64 GB,--,48MP + 8MP,16.36 cm (6.44 inch),--,"₹24,999",https://www.flipkart.com/oneplus-nord-blue-marble-64-gb/p/itm49f817b591982?pid=MOBFUE5N7KAGZHHC&lid=LSTMOBFUE5N7KAGZHHC6NVUQL&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=003cc353-2dea-489a-80fd-eeec8187e1e8.MOBFUE5N7KAGZHHC.SEARCH&ppt=hp&ppn=homepage&ssid=fmwzviv8hs0000001669302919879&qH=53863d4d978d5074
OnePlus,Nord CE 2 Lite 5G,Black Dusk,8 GB,128 GB,64MP Rear Camera,Primary Camera,16.74 cm (6.59 inch),5000 mAh,"₹21,999",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm7acae55b999e6?pid=MOBGJMUHNPP6ZD5W&lid=LSTMOBGJMUHNPP6ZD5WTPOK1P&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=003cc353-2dea-489a-80fd-eeec8187e1e8.MOBGJMUHNPP6ZD5W.SEARCH&ppt=hp&ppn=homepage&ssid=fmwzviv8hs0000001669302919879&qH=53863d4d978d5074
