Sr. No.,Brand_Name,Product,Price,Return/Exchange,Excepted Delivery,Availability,URL
169,-,Pluto HW39-201P Electro Acoustic Guitar - Rosewood Fretboard - Black,-,-,"Tuesday, 29 November",-,https://www.amazon.in/Pluto-HW39-201P-Electro-Acoustic-Guitar/dp/B08W8QY54C/ref=sr_1_136?keywords=Guitar&qid=1669297641&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-136
170,-,"HRB MUSICALS® 50 Pcs Guitar String Tool Kit Including 3 Guitar Strings SET, 1 Guitar Tuner, 15 Picks, 1 black Capo with Pins remover, 1 pick holder, 12 Guitar pins, 1 guitar Cutter and 1 Winder",-,-,"Tuesday, 29 November",In stock.,https://www.amazon.in/MUSICALS%C2%AE-Guitar-Including-Strings-remover/dp/B082Q6C28F/ref=sr_1_137?keywords=Guitar&qid=1669297641&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-137
171,-,Cort GA-MEDX Electro Acoustic Guitar With Bag.(OP),-,-,"Wednesday, 30 November",-,https://www.amazon.in/Cort-GA-MEDX-Electro-Acoustic-Guitar/dp/B09Y3FVX6Y/ref=sr_1_138?keywords=Guitar&qid=1669297641&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-138
172,-,"Fender SA105CE Electric Acoustic Guitar Dreadnought With Bag, Belt & Plectrums Combo Pack (SB)",-,-,"Wednesday, 30 November",In stock.,https://www.amazon.in/Fender-Electric-Acoustic-Dreadnought-Plectrums/dp/B08CTGTV96/ref=sr_1_139?keywords=Guitar&qid=1669297641&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-139
173,-,"Yamaha FS80C Acoustic Guitar Cutaway Concert Body With Mexa Sponge Bag, Guitar Belt, Guitar Stand, String Set & Plectrums.(BK)",-,-,"Wednesday, 30 November",-,https://www.amazon.in/FS80C-Acoustic-Cutaway-Concert-Plectrums/dp/B09HSHGD3B/ref=sr_1_140?keywords=Guitar&qid=1669297641&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-140
174,-,"Blueberry B-D38 38 Incheses wood Acoustic Guitar Kit Inbuilt Truss Rod With Bag, Strap, One Pack Strings And Picks (Blue)",-,-,"Tuesday, 29 November",In stock.,https://www.amazon.in/Blueberry-B-D38-Acoustic-Inbuilt-Strings/dp/B07PHYZZP1/ref=sr_1_141?keywords=Guitar&qid=1669297641&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-141
175,-,"Wooden Miniature Guitar, Stylish Long Service Life Steel-String Acoustic Guitars for Home Office Decoration",-,-,December 12 - 15,In stock.,https://www.amazon.in/Miniature-Stylish-Steel-String-Acoustic-Decoration/dp/B09NVZLX9J/ref=sr_1_142?keywords=Guitar&qid=1669297641&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-142
176,-,"Tanglewood - 'TW4 E VC KOA' Winterleaf Series, Solid Top, Electro Acoustic Guitar With Fishman Presys Pickup",-,-,"Tuesday, 29 November",In stock.,https://www.amazon.in/Tanglewood-Winterleaf-Electro-Acoustic-Fishman/dp/B07KN9DRR6/ref=sr_1_143?keywords=Guitar&qid=1669297641&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-143
177,-,"Kadence 40 Incheses Frontier Series, rosewood Semi Acoustic Guitar With Die Cast Keys (Bag,Strap,Strings And 3 Picks) (Natural)",-,-,"Monday, 28 November",In stock.,https://www.amazon.in/Kadence-Frontier-Acoustic-Natural-Equalizer/dp/B01I50UJG6/ref=sr_1_144?keywords=Guitar&qid=1669297641&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-144
178,-,Cort AD810LH-OP Dreadnought Left Handed Acoustic Guitar - Open Pore,-,-,"Tuesday, 29 November",-,https://www.amazon.in/Cort-AD810LH-OP-Dreadnought-Handed-Acoustic/dp/B07G47H9QP/ref=sr_1_145?keywords=Guitar&qid=1669297641&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-145
