,comment,upvote,time
210,ਪਹਿਲੀ ਵਾਰੀ ਇਹਦਾ ਹੋਇਆ ਇਕ ਗੀਤ ਦੇ ਦੋ ਅਲੱਗ-ਅਲੱਗ ਵੀਡੀਓ ਇਕ ਪੰਜਾਬ ਅਤੇ ਦੂਜਾ ਕਨੇਡਾ ਇਹ ਵੀ ਇੱਕ world ਰਿਕਾਰਡ ਬਣ ਗਿਆ ,40,1 year ago
211,Beautifull song amazing singing paa ji ⚘⚘⚘,3,1 year ago
212,one and only ustad babbu maan ,17,1 year ago
213,Love you ustad ji nice song ️️️️️,,3 months ago
214,"Punjabi industry ch haale 2 hi bande ne.....jehade 10-15 min de gaane vich v.......dhyaan edhar-odher nhi jaan dinde kisse da v
1.ustaad babbu maan️
Read more",,1 year ago
215,"Gaayki da main stop।   is to baad kuj ni,, love you babbu ma'an Saab and ma'an fans ️️️️️",3,2 months ago
216,"ਦੇਖ ਚੜਾਈ ਜੱਟ ਦੀ
ਕਈਆਂ ਨੂੰ ਆਉਂਦਾ ਨਾ ਚੈਨ ਆ
ਜੋ 23 ਸਾਲ ਪਹਿਲਾਂ ਪਾਇਆ ਸੀ
ਮੁਕਾਮ ਅੱਜ ਵੀ ਕੈਮ ਆ
Read more",76,1 year ago
217,Please Babbu maan sir da kise hor nal  comparison nhi hai tusi v kise nal na kro comparison please bhaji is great singer and great person great personality  babbu bhaji is great human  alot of love from south africa 🇿🇦,9,1 year ago
218,Masterpiece,3,1 year ago
219,Maana tere es geet ne babut pvaara paaya… edi peerh kdi ni Jaani bheda nu te koi naal hi leke turgya edi peerh,4,4 months ago
220,fan of babbu maan since mitra di chhatri udd gyi. Played this song anytime,2,8 months ago (edited)
221,Love you maan saab,,2 months ago
222,ਇੱਕ ਗਾਣੇਂ ਦੀਆਂ ਦੋ ਵੀਡੀਓ ਇਹ ਕੰਮ ਸਿਰਫ ਬੱਬੂ ਮਾਨ ਹੀ ਕਰ ਸਕਦਾ ਹੋਰ ਕੋਈ ਨੀ ️️️,30,1 year ago
223,Still favourite ️,1,10 months ago
224,He’s just blessed !,,6 months ago
225,Love you maan saab,,2 months ago
226,Father of Punjabi music a real legend with a heart like God's heart thank you Mr Babbu Maani appreciate your music    ,,6 months ago
227,. Eh geet amr hogya… koi ehnu sunnda sunnda ehnu naal hi lehgya,5,4 months ago
228,"ਨਾ ਸੂਫ਼ੀ ਤੇ ਨਾ ਸੰਤ ਕੁੜੇ
ਨਾ ਸਾਧ ਤੇ ਨਾ ਮਹੰਤ ਕੁੜੇ
ਜੱਟ ਬਿਗੜਿਆ ਹੋਇਆ ਮੈ ਬੱਲੀਏ
ਪਿੰਡ ਆ ਮੇਰਾ ਖੰਟ ਕੁੜੇ
Read more",40,1 year ago
229,No word to say..you r great singer of punjab,1,5 months ago
230,Lub u Ustad ji all time favorite song repeat te chli jnda,12,1 year ago
231,Ustaad babbu maan ji ️️️,,2 weeks ago
232,Great song maan saab ️️,2,1 year ago
233,Love from Punjab Pakistan️,2,1 month ago
234,ਪਹਿਲੀ ਵਾਰੀ ਇੱਕ ਗਾਣੇ ਦੀਆ ਦੋ ਵੀਡੀਓ  ਆਈਆ ਸ਼ੂਪਰ,66,1 year ago
235,ਜੰਮਦੀਨਮ ਮੁਬਾਰਕ ਮਾਨ ਸਾਬ ️,1,7 months ago
236,The great !! The best .. proud to be B.Mann vir,4,9 months ago
237,Adab punjabi att geet.. Ajj v peerh aah bheda nu edi te rhu gi ,1,4 months ago
238,"This is called a good song (very meaningful)
# big fan of babbu maan

Other singers are only doing their praise in their songs.",30,1 year ago
239,Dhan baba deep singh g,2,4 months ago
240,ਅੱਜ ਦੇ ਲੱਲੀ-ਛੱਲੀ ਜਵਾਕ ਜਿਹੇ ਰੀਸ ਕਰਦੇ ਨੇ ਖੰਟ ਵਾਲੇ ਮਾਨ ਸਾਬ ਦੀ...Living legend Maan saab,46,1 year ago
241,Babbu maan Austtad ji tuhad har ik song hint huda haa love u austtad ji,2,11 months ago
242,Babbu mann hor singers taran adh naghian kudyian nahi nachonda he is real legend of his culture,16,1 year ago
243,Kithe asla chakkan deine aah putt bgaane ni…. ,6,5 months ago
244,King  of live music ,4,1 year ago
245,waheguru ji app ji nu chardi kala kern,,1 month ago
246,Babbu Maan Saab Zindabaad. jado takk eh duniya rahugi oddo takk Maan Saab Ji de geet duniya Vichh goonjde rehnge. with respect Love you Maan Saab ,34,1 year ago
247,greatest of all time....legend of punjabi music industry..love nd respect fr this great singer...may he live long ..,8,5 months ago
248,The real fans never forget what this man did for the culture...,18,1 year ago
249,Maan beimaan legend of punjab ,1,4 months ago
250,Babu mann best singer in the industry ,17,1 year ago
251,Nice song maan Saab ,,4 months ago
252,ਇੰਡਸਟਰੀ ਛੱਡ ਦੁਨੀਆ ਹਿਲਾ ਦਿੱਤੀ ਇੱਕ ਗੀਤ ਦੀਆਂ ਦੋ ਵੀਡੀਓ ਇੱਕੋ ਟਾਈਮ ਕੱਢ ਕੇ ,43,1 year ago
253,5 million original views completed ️,15,1 year ago
254,Amazing  lyrics,2,1 year ago
255,ਵਾ ਬੱਬੂ ਮਾਂਨ ਸਾਹਿਬ ਜੀ,1,3 weeks ago
256,Khant aala maan  On  repeat ️️️,16,1 year ago
257,Love you jatta ,1,4 months ago
258,ਜਿਹੜੇ 2005 ਤੋਂ ਲੇ ਕੇ ਹੁਣ ਤੱਕ ਸੁਣਦੇ ਆ ਬਾਈ ਨੂੰ ਕਰੋਂ ਜੀ ਲਾਇਕ ,751,1 year ago
259,My favorite singer  bhut vadia song sir and bhagra,1,1 year ago
260,Still listening to this beautiful song on repeat. Forever songs by Maan Saab. You're the best Maan Saab ,6,8 months ago
261,Ustad ji Love from Pakistan 🇵🇰,2,4 months ago
262,ਲਵ ਯੂ ਮਾਨ ਸਾਬ ,13,1 year ago
263,Maan Saab ️️,,1 month ago
264,ਬੰਦਾਂ ਸਿੰਘ ਬਾਹਦਰ ਮਿੱਤਰੋਂ ਮੇਰਾ ਹੀਰੋ ਆ️,28,1 year ago
265,10 millions golden views. No promotion no fake clicks no Adds. ️️,3,1 year ago
266,He is great singer great person and great writer,8,1 year ago
267,Maan saab,,3 months ago
268,Legend always legend,7,1 year ago
269,Maan saab️,,5 months ago
270,I love you ustad babbu maan sahab & love you all maan fans.,40,1 year ago
271,Sir Babu maan saab g nu koi ni beat kr skda punjabhi industry ch in future v ni he is always best ,19,1 year ago
272,ਅਮਰ ਗੀਤ ️,9,1 year ago
273,"All Sikhs are legend, I am not saying this, but history tells",3,3 months ago
274,This song deserve million of views and comments,10,1 year ago
275,Ustaad️ babbu maan,,1 month ago
276,"ਬਾਲ ਲੰਬੇ ਰੱਖ ਰੱਖ ਬੜੇ ਮੁੰਡੇ ਆਏ
ਪਰ ਜੱਟੀਏ ਕੋਈ ਬੱਬੂਮਾਨ ਨੀ ਉ ਬਣਿਆ️️",49,1 year ago
277,Legendary singer Legendary songs,,1 year ago
278,Legends r true legends no compition,,9 months ago
279,Ustaad️ babbu maan,,1 month ago
280,Morning ki suruaat es gaane ko sunkar hoti hai daily ,7,1 year ago
281,Ustaad️ babbu maan,,1 month ago
282,All time favourite forever Legand of Music industry One and only Babbu Maan,35,1 year ago
283,Super Hit Singer Forever Unbeatable Voice,,1 year ago
284,Kya baat hai song ho to Aisa salute hai ustad ji babbu Maan zindabaad  I️️️️,8,9 months ago
285,Ustaad️ babbu maan,,1 month ago
286,100 million tak b sunange appan ️️️,57,1 year ago
287,Ustaad️ babbu maan,,1 month ago
288,ਮੈਨੂੰ ਮਾਣ ਪੰਜਾਬੀ ਹੋਣ ਤੇ ,35,1 year ago
289,"Great song maan saab . 
Pura culture ik maala vich pro ditta tuhade is geet ne ",2,1 year ago
290,"Mann Saab, wait for your song like this, like eating bread and sleeping at night,,,,sirra song ",22,1 year ago
291,Only BABBU maan ️️️,,2 weeks ago
292,Evergreen song,1,1 year ago
293,ਜਲਦੀ ਮਾਨ ਸਾਬ ਅੜਬ ਪੰਜਾਬੀ 4,1,1 month ago
294,ਸਿੰਗੂ ਬਾਡਰ ਤੇ ਬੈਠੇ ਸੁਣ ਰਿਹਾ,27,1 year ago
295,Bai sira kraata ...i love you bai ..beat sun ke hi rooh khush ho jandi aa.. song sun ke swarga de njaare aa jande aa,3,1 year ago
296,Maan saab is the best singer of india,,1 year ago
297,"ਜਿਹੜੇ ਵੀ ਤੂਫਾਨ ਆਏ ਚੜ੍ਹ ਚੜ੍ਹ ਮੈਂ ਪੈਰਾਂ ਹੇਠਾਂ ਰੋਲੇ ਨੇ
ਨਾਮ ਇੱਕੋ ਹੈ ਬਦਨਾਮ ਖੰਟੀਆਂ ਸ਼ਬਦ ਸਾਰੇ ਸੱਚ ਬੋਲੇ ਨੇ
ਆਜਾ 15 ਨੂੰ ਕੁਬਾਹੇੜੀ ਵਿੱਚ ਮੋਹਾਲੀ ਪੱਤੇ ਸਾਰੇ ਮੈਂ ਖੋਲੇ ਨੇ
ਲਾਸਟ ਆਲਾ ਫੈਨ #DSM68",,11 days ago
298,Nice song on the repeat ,,1 year ago
299,"Like at my heart, the mann , the great singer and person,",,3 months ago
300,Babbu maan ...the living legend of Punjabi music industry ,21,1 year ago
301,Ehnu kehnde singer lakhari ..oh 22 tera koi tod ni..best of best singer of punjabi industry..love u beimaan,,7 months ago
302,Real legend BABBU MAAN great man always luv u paji ,,1 year ago
303,Babbumaan jindabaad ️,2,1 month ago
304,Koi rees nai maan saab di .he is really great man.love u maan saab ustad ji.jionde rho hamesha. Khush rho hameasha,,1 year ago
305,ਬੱਬੂ ਮਾਨ ️️,1,6 days ago
306,Maan Saab the Great singer of Asia love from bhadra Rajasthan ,41,1 year ago
307,Ustada ji da song  love you ji ap nu ustada ji,1,9 months ago
308,ਬੱਬੂ ਮਾਨ ਉਸਤਾਦ ਜੀ ਦੀ ਡੂੰਘੀ ਸੋਚ ਨੂੰ ਸਲਮ ਗੀਤ ਬਹੁਤ ਬਹੁਤ ਪਿਆਰ ਏ ਜੀ,30,11 months ago
309,ਬੱਬੂ ਮਾਨ ਸਾਬ ਜਿੰਦਾਬਾਦ ️️,,6 days ago
310,Maan saab bilkul thik kha tusi 2005 mitran de chitri puri dhoom c tuhada asa album de pakistan punjab ch.love you maan saab ho ga pakistan tu ,1,6 months ago
311,"Is geet ton keyi sadd sadd murde hogye..... ️
Adab punjabi ️",5,3 months ago
312,Congratulations to all maan fans,30,1 year ago
313,I am speechless ,,6 months ago
314,This Video going to completing #10 Millions Original & Genuine Views within in 4 months ️️️️,26,1 year ago
315,Maan ️,1,5 months ago
316,"Let's make this video the most viewed punjabi video ever, it represents what we are",14,1 year ago
317,very nice  song   .sada sukhi rakhe Rab .,5,4 months ago
318,"ਮਾਨਾਂ ਮਾਣ ਬੜਾ ਸਾਨੂੰ ਤੇਰੇ ਫੈਨ ਹੋਣ ਤੇ ਲਿਖਤ ਨੂੰ ਸਲਾਮ,,,,,",34,1 year ago
319,On repeat since relesed,,1 year ago
320,"ਕਿਰਤੀ ਤੇ ਮਿਹਨਤਕਸ਼ ਹਾਂ ਰਾਖ਼ੇ ਮਜ਼ਦੂਰਾਂ ਦੇ,,",,1 year ago
321,Khant aala jatt ,2,4 months ago
322,It is impossible to say a man get success without struggle.like our pride babbu man shab,35,1 year ago
323,Nice song  maan saab,2,3 days ago
324,ਕੌਣ ਕੌਣ ਕਿਸਾਨੀ ਅੰਦੋਲਨ ਵਿੱਚ ਹਾਜ਼ਰੀ ਲਵਾ ਆਇਆ ਆਪਣੀ ...,20,1 year ago
325,ਬਾਈ ਜੀ ਅਸਲੀ 7ਮਿਲੀਅਨ ਲਈ ਸਾਰੇ ਫੈ਼ਨਸ ਤੇ ਮਾਨ ਸਾਬ ਨੂੰ ਬਹੁਤ ਬਹੁਤ ਵਧਾਈਆਂ ਹੋਣ ਜੀ,,1 year ago
326,Living Legend,24,1 year ago
327,Bahut hi vadia singar and song ,,1 month ago
328,WOW BEAUTIFUL SONG ️,3,1 year ago
329,Att jatta️,1,3 weeks ago
330,"Audio  
Video  
Music   
Lyrics  
Read more",30,1 year ago
331,One and only ustad babbu maan ,,1 year ago
332,The king of industry legends of babbu maan Saab ️️️️️️️️️️,1,1 year ago
333,ਜੀਜਾ ਬੱਬੂ ਮਾਨ ਹੈਟਰਾ ਦਾ ,2,1 month ago
334,"Awesome singing, lyrics,acting maasha allah. No one can say your age, you are still young as u were saun do jhadi. Veer g I got married 18/02/2002. Now u know. Dil ki hai, dil ta pagal hai. I wonder if brains came with ️",15,1 year ago
335,Nyc Super Duper Gjb  Maan Saab,,2 months ago
336,TRENDING 1 ਤੇ ਪੰਜਾਬ ਆਲੀ ਇਹ 6 ਨੰਬਰ ਤੇ ਆ.. ਦੂਜੇ ਨੰਬਰ ਤੇ ਲੈ ਕੇ ਆਉਣੀ ਸ਼ੇਅਰ ਕਰੋ ਵੱਧ ਤੋਂ ਵੱਧ ਸਾਰੇ ਜਾਣੇ,37,1 year ago
337,One and only ustad babbu maan ,,1 year ago
338,All time blockbuster song jo haters nu hamesha pain dinda raho,,1 year ago
339,Babbu maan zindabad,1,4 months ago
340,ਬਹੁਤ ਹੀ ਵਧੀਆ ਗੀਤ ਏ ਵੀਰ ਜੀ     best of luck ਘੈਂਟ ਗਾਣਾ ਗਾਇਆ ਏ ਵੀਰ ਜੀ ਨੇ ,,6 months ago
341,Jind Jaan babbu maan ️️️,,1 month ago
342,"ਇਹ ਠੱਗ ਵਪਾਰੀਆਂ ਨੇ ਸਾਡੇ ਮੱਥੇ ਜੜਤਿਆਂ ਜਾਤਾਂ,
ਇਹ ਕੀ ਸਮਝਣਗੇ ਗੁੱਝੀਆਂ ਮਾਨ ਦਿਆਂ ਬਾਤਾਂ ",50,1 year ago
343,Lyrical genius,,1 year ago
344,Grt lyrics ️maan saab,2,1 year ago
345,"Na Gall kar Keats Di

Na Gal Kar Ghalib Di

Taleem Badi Tedi

Khant Walle Talib Di.......",,3 months ago
346,ਲੁਵ ਜੂ ਬਾਈ ਜੀ ,1,1 year ago
347,Ustad ji very nice️,1,4 months ago
348,"You are great singer maan Saab in whole world love from Galar ,Rajgarh ,Rajasthan",21,1 year ago (edited)
349,True legend!!!,4,1 year ago
350,6 million orginal views comming soon ,25,1 year ago
351,Bhot sohna song ️,,3 months ago
352,Adab Punjabi di tone sunn ke mood change ho janda,15,1 year ago
353,Very very nice ,,3 months ago
354,ਬਾਬਾ ਬੰਦਾ ਸਿੰਘ ਬਹਾਦਰ ਜੀ ਦੇ ਨਾਮ ਤੇ ਕਰੋ ਲਾਈਕ।,130,1 year ago
355,Maan saab tuhade naal Punjabi industry hai ,2,1 year ago
356,babbu maan sir is my favourite from all punjabi singers,1,11 months ago
357,Love you Babu maan ,3,4 months ago
358,Maan shabh always on top full love from haryana ,,1 year ago
359,Legend,,3 months ago
360,The real legend of punjabi industry,28,1 year ago
361,EK NUMBER SONG️,4,1 year ago
362,Beautiful song ️️,1,6 months ago
363,Very nice song veerji,,11 days ago
364,Beautiful  song and lyrics.,1,1 year ago
365,Nice song maan saab,1,2 months ago
366,80 Saal da Baba deep seoo neri lyagia si ,74,1 year ago
367,Love this song,,1 year ago
368,Great lyrics ,,10 months ago
369,Siraa song man saabking of industry,,2 weeks ago
370,"I'm from Somalia 🇸🇴 we love punjabi music and the Boss
Babbu mannnnn",4,6 months ago
371,Very nice song and music video ,,2 months ago
372,ਡਿਸਲਾਈਕ ਕਰਨ ਵਾਲਿਆਂ ਨੇ ਪੂਰਾ ਜ਼ੋਰ ਲਾਇਆ ਸੀ ਪਰ ਕੱਟੜ ਫੈਨ ਤਾਂ ਇੱਕ ਹੀ ਕਾਫੀ ਹੈ।,87,1 year ago
373,"Jinne time dia web series aundia, one tym da jatt da ik gaana aunda ",2,11 months ago
374,ਸ਼ਬਦਾਂ ਦਾ ਸੌਦਾਗਰ ਜੋ ਦਿਲਾਂ ਤੇ ਰਾਜ ਕਰਦਾ ਸਲਾਮ ਕਲਮ ਨੂੰ,4,10 months ago
375,Luv u maan saab,,4 months ago
376,"Ghaint superb always good 
Legend babbu maan g",3,1 year ago
377,Super duper hit song ️️️️️,,12 days ago
378,"ਕੱਲੀ ਕੱਲੀ ਗੱਲ ਠੋਕ ਕੇ ਕਹੀ ਹੈ, ਵਾਹ ਜੀ ਵਾਹ ਜੀਓ ਮਾਨ ਸਾਹਿਬ ਜੀ, ️",30,1 year ago
379,LIVING LEGEND️,7,1 year ago
380,ਉਸਤਾਦ ਜੀ ਸਿਰਾ ਲਵਾ ਦਿੱਤਾ ,1,1 year ago
381,"Rest in power  
Sidhu moose wala ",42,4 months ago
382,Very big budget song by maan saab audio video both blockbuster ,1,10 months ago
383,"Babbu Maan Zindabad 
RIP sheep",1,3 months ago
384,ਸਿੱਖ ਮਿਸਲਾਂ ਦੇ ਜਰਨੈਲਾਂ ਨੂੰ ਝੂਕ ਕੇ ਸਲਾਮ ਕਰਾਂ ,200,1 year ago
385,"Well that Chinese soldier who was picked up by Indian soldiers was scared like child.
In the end you made this whole song worth listening.",1,1 year ago
386,WOW AMAZING SONG ,2,9 months ago
387,Love it,,4 months ago
388,Biggest artist of punjabi industry,,1 year ago
389,Bhai babbu maan thé legend singer et great humain being,2,3 weeks ago
390,ਇਕ ਗਾਣੇ ਦੀਆਂ ਦੋ ਵੀਡੀਓਜ਼ ਨਹੀਂ ਰੀਸਾ ਮਾਨ ਦੀਆਂ ,61,1 year ago
391,MY FAVORITE SONG ,1,8 months ago
392,Kya baat hai song ho to Aisa salute hai ustad ji babbu Maan zindabaad ️️️️️,3,9 months ago
393,Very  good song ,,1 month ago
394,Sira karai hoyi maan saab ajj first time suniya   nazara a gya   ️️,,1 year ago
395,King ,,2 months ago
396,"ਵਾਹ ਜੀ ਵਾਹ
ਸਿੱਖ ਮਿਸਲਾਂ ਦੇ ਜਰਨੈਲਾਂ ਨੂੰ ਝੁਕਕੇ ਸਲਾਮ ਕਰਾਂ",31,1 year ago
397,Kya baat hai mann sahab ki ️,1,7 months ago
398,Listning this song everyday,1,8 months ago
399,Vire nice song Maan sab,1,4 months ago
400,Powerful presentation ,2,1 year ago
401,I love you maan sab ji,1,4 months ago
402,ਡਿਸਲਾਈਕ ਕਰਨ ਵਾਲਿਆਂ ਨੇ ਪੂਰਾ ਜ਼ੋਰ ਲਾਇਆ ਸੀ ਪਰ ਕੱਟੜ ਫੈਨ ਤਾਂ ਇੱਕ ਹੀ ਕਾਫੀ ਹੈ।,106,1 year ago
403,No one can beat Babbu Mann’s MEANINGFUL lyrics.. moosewala taan kal da jawaak aa Mann sahmane. Peo peo hi hunda hai.,17,1 year ago
404,forever song ..,,1 year ago
405,Love you ustaad Babbumaan saab,,3 months ago
406,Super song ️️️️,1,1 year ago
407,maan saa ji ,1,3 weeks ago
408,Live King  of Live Babbu Maan,47,1 year ago
409,"ਬਾਈ ਜੀ,
ਬਹਿਜਾ- ਬਹਿਜਾ ਕਰਾਤੀ।",2,1 year ago
410,Great personality ,2,1 year ago
411,Legend  never die,5,1 month ago
412,MASTERPIECE,1,1 year ago
413,Nice ️️,,12 days ago
414,ਬਾਬਾ ਦੀਪ ਸਿੰਘ ਜੀ ਲਈ ਇਕ ਲਾਈਕ ਤਾਂ ਬਣਦਾ ਹੈ ,157,1 year ago
415,"Khatl feel song I' m big fan of "" ""kanth wala maan""",29,1 year ago
416,"Att aa 22g.
Nice meaningful lyrics.",,8 months ago
417,"come here after listening syl 
sidhu still king ",4,3 months ago
418,Such a beautiful voice,1,1 year ago
419,Att song mann saab ji,1,4 months ago
420,"Ajj Tak koyi vi singer apne fans baare nahi gaa sakiya 
You are truly trendsetter",25,1 year ago
421,Es geet ne aisi break laayi c sidhu de bhi ant takk bhulya ni ,3,5 months ago
422,ਗੀਤ ਦੀ ਤਾਰੀਫ਼ ਲਈ ਸ਼ਬਦ ਮੁੱਕ ਗਏ,,6 months ago
423,ਬੱਬੂ ਮਾਨ ਸਾਬ ਜਿੰਦਾਬਾਦ ️,,1 month ago
424,Each word of this song is really heart touching & 100 % True ...Wahe Guru,3,1 year ago
425,love u jatta ,1,4 months ago
426,"No fake views but song of babbumaan Adab punjabi is in trending.
Love you maan saab and all fans️",106,1 year ago
427,10 million original view done congratulations maan fans ️,8,1 year ago
428,I love this song,1,8 months ago
429,kaim aa ustad ji,2,2 months ago
430,Babbu maan is a great singer,,8 months ago
431,𝘕𝘺𝘤𝘤 𝘶𝘴𝘵𝘢𝘥 𝘫𝘪 ,,2 months ago
432,ਬਹੁਤ ਦੀਆ ਨਲੀਆ ਨਿਕਲ ਗਈਆ ਅੜਬ ਪੰਜਾਬੀ ਵੀਡਿਉ ਨਾਲ.  ਸਿਰਾ ਮਾਨ ਸਾਬ,37,1 year ago
433,Danger song ️,1,1 year ago
434,Speechless,,1 year ago
435,Adab punjabi️,,1 month ago
436,Awesome song...,,6 months ago
437,Love you ustad ji from Pakistan 🇵🇰,,3 months ago
438,"Ostad ਨੇ ਫਿਰ ਬਣਾ ਦਿੱਤਾ  record  ਪਹਿਲੀ ਵਾਰ  10 mint ਦੀ ਵੀਡੀਓ ਵਾਲਾ ਗਾਣਾ   ਖਿਚੀ ਚੱਲੋ  ਕੰਮ ਉਸਤਾਦ ਜੀ
ਕਿਸਾਨ ਮਜਦੂਰ ਏਕਤਾ ਜ਼ਿੰਦਾਬਾਦ",28,1 year ago (edited)
439,King of Punjabi music industry!!,23,1 year ago
440,"It's impeccable one, you provide motivation",,8 months ago
441,Best Song .     ️,,1 month ago
442,ਲਵ ਯੂ ਉਸਤਾਦ ਜੀ️,,1 year ago
443,Maan is great,,2 months ago
444,Baap of music industry ️️️️,19,1 year ago
445,Excellent ️,2,1 year ago
446,ਸਦਾਬਹਾਰ ਗੀਤ,5,1 year ago
447,️️️,2,3 months ago
448, ਮਾਨ ਸਾਬ ਰਾਜੇ ---- --- - ਬਾਕੀ ਸਾਰੇ ਸੋਰੀ ਟੈਪੂ,2,1 year ago
449,,1,4 months ago
450,ਅੰਤ ਸਮੇਂ ਨੂੰ ਹੈ ਪਛਤਾਉਦਾ ਜਿੰਨੇ ਫੜੀ ਸਮੇਂ ਦੀ ਰਮਜ ਨੀ ਹੁੰਦੀ ਕੋਈ ਮਾੜਾ ਬੋਲੇ Maan ਨੂੰ ਉਦਾਸ ਨਾ ਹੋਇਆ ਕਰੋ ਕਿਉਕੀ ਕਬਾੜ ਦੇ ਵਪਾਰੀਆਂ ਨੂੰ ਸੋਨੇ ਦੀ ਸਮਝ ਨੀ ਹੁੰਦੀ,44,1 year ago
451,"ਬਹੁਤ ਘੈਂਟ ਫੀਲ ਹੁੰਦਾ ਗੀਤ ਸੁਣਕੇ 
                               ",1,1 year ago
452,Can’t wait more for part 2,34,1 year ago
453,babbu maan all song vry betufull maan saab jindabad,1,1 month ago
454,Respect ,,8 months ago
455,80 ਸਾਲ ਦਾ ਬਾਬਾ ਦੀਪ ਸਿੰਘ ਹਨੇਰੀ ਲਿਆ ਗਿਆ ਸੀ my fevert line,10,4 months ago
456,ਭੰਗੜੇ ਆਲ਼ੇ ਵੀਰਾਂ ਤੇ ਭੈਣਾਂ ਲਈ ਇੱਕ ਲਾਈਕ ਤਾਂ ਬਣਦਾ ️,96,1 year ago
457,Wow nice voice usatad ji ,,6 months ago
458,ਜਿਊਂਦੇ ਰਹੋ ਉਸਤਾਦ️️️,2,1 year ago
459,,1,4 months ago
460,All time legend of punjab ️️️,3,1 year ago
461,Att ah ,,2 months ago
462,ਜਦੋ ਤੱਕ ਸਾਹ ਚੱਲਣਗੇ ਮਾਨ ਸਾਬ ਹੀ ਚੱਲੂ ਆਪਣੇ ਕੋਲ,88,1 year ago
463,ਹੇਟਰਾ ਵੀ ਸਾਰੀ ਉਮਰ ਯਾਦ ਰੱਖਣਗੇ ਇਸ. ਗਾਣੇ ਨੂੰ,,1 year ago
464,Nyc song ️️️,,6 months ago
465,No one can reach ur level. You were and will remain a Bigger Competition for all The Artists in the Industry.,9,4 months ago
466,Ustaad de song sunan da alag hi swad hi .love you maan saab,,1 year ago
467,Ustaad babbu maan️,3,5 months ago
468,wow ਬਹੁਤ ਵਧੀਆ ਨਹੀ ਰੀਸਾ ਮਾਨ ਸਾਹਿਬ ਦੀਆ  ਵਾਹਿਗੁਰੂ ਜੀ ਹੋਰ ਤਰੱਕੀਆ ਬਖਸਣ ️️,58,1 year ago
469,Super duper song ustad ji ,,1 year ago
470,Wonderful. ..speechless. ..,,1 year ago
471,1 saal ho gya hje 1.9 crore views SYL' te 2 hours de vich 2.7 crore age si ,2,4 months ago
472,ਉਸ੍ਤਾਦੱਦੜ ਸਿਰਾਆਆ ,1,1 year ago
473,The legend love from Pakistan 🇵🇰 I,1,4 months ago
474,ਜੇੜੇ ਵਾਰ ਵਾਰ ਰਪਿਟ ਤੇ ਸੁਣ ਰਹੇ ਲਾਈਕ ਕਰੋ,50,1 year ago
475,,2,1 year ago
476,,2,1 year ago
477,Babbu maan ,,3 months ago
478,,2,1 year ago
479,Maan ️,,2 months ago
480,Babbu Maan Great Singrer In The World ,34,1 year ago
481,ਇਸ ਗਾਣੇ ਨੇ ਦਿਲ ਖੁਸ ਕੀਤਾ ਹੈ,,1 year ago
482,Ustad love you ️️️️️,8,1 year ago
483,Babbu Maan my  favourite singer  love you Babbu Maan all' song,,9 days ago
484,Nice song singer from Mauritius S.Veer Singhji god blessed,7,1 year ago
485,Babbu Maan all time hit,,1 month ago
486,My favourite singer ️ Babbu Maan hai I love you Veer je,28,1 year ago
487,"10m original views completed
Congrats  #kattado ️",12,1 year ago
488,This song is Very beautiful🇮🇳🇮🇳,14,1 year ago
489,Ustaad️ babbu,,1 month ago
490,ਬਾਬਾ ਦੀਪ ਸਿੰਘ ਜੀ ਦੀ ਸ਼ਹਾਦਤ ਨੂੰ ਕੋਟਿ ਕੋਟਿ ਪ੍ਰਣਾਮ ,5,1 year ago
491,Ustaad️ babbu,,1 month ago
492,"ਬਹੁਤ ਵੱਡਾ ਧਮਾਕਾ ਪੈਣ ਜਾ ਰਿਹਾ , ਪੁਰਾਣੀ ਯਾਰੀ 
Coming soon ",20,1 year ago
493,ਬਹੁਤ ਸੋਹਣਾ ਗਾਣਾ ਜੀ,1,1 year ago
494,"Please support Golden Hut dhaba owner Ram Singh Rana , he is a nice person . Punished by government for helping farmers , providing free shelter to farmers at singhu boarder.  He need our help now. I request all Punjabis , please support him.
Read more",8,1 year ago
495,Ustaad️ babbu,,1 month ago
496,Love you babbuman ustad legend ️️,,7 months ago
497,Bhot sona ️️,,4 months ago
498,ਬੱਬੂ ਮਾਨ ਹਮੇਸ਼ਾ ਟਾਪ ਤੇ ਹੀ ਰਹੂਗਾ ️️️,171,1 year ago
499,️every word great Shan of punjab,1,8 months ago
