,comment,upvote,time
45,"ਵਿਸਾਖੀ ਵਾਲੇ ਦਿਨ ਇਤਿਹਾਸ ਜਰੂਰ ਬਣਦਾ ਹੈ 
  ਕੌਣ ਕੌਣ ਸਹਿਮਤ ਹੈ........",54,1 year ago
46,Nobody can sing like  Babbu Maan one and only Legend,4,1 year ago
47,Very nice song  App ne sach bolia hai Vir Ji Waheguru Ji aap te kirpa kare,15,1 year ago
48,Khalsa raj waheguru ji waheguru mehar kare,1,2 months ago
49,"ਛੱਡਿਆ ਨਹੀਂ ਕੋਈ ਵਿਸ਼ਾ ਪੰਜਾਬਣੇ ਸਾਰੇ ਗਾ ਦਿੱਤੇ 
ਕਿਸਾਨ ਮਜਦੂਰ ਏਕਤਾ ਜ਼ਿੰਦਾਬਾਦ ",118,1 year ago
50,"ਬੇਈਮਾਨ ਸੀ ਕੱਲ ਵੀ ਜੀਰੋ,ਅੱਜ ਵੀ ਜੀਰੋ ਐ , ਬੰਦਾ ਸਿੰਘ ਬਾਹਾਦੁਰ ਮਿੱਤਰੋ ਮੇਰਾ ਹੀਰੋ ਐ ......ਲਵ ਯੂ ਉਸਤਾਦ ਜੀ ।",127,1 year ago
51,industry king maan saab,1,11 months ago
52,What a beautiful song about our Guru sahib,31,1 year ago
53,ਮਾਨ ਨਾਮ ਨੂੰ ਬਖਸ਼ਿ਼ ਹੈ ਸਾਰੇ ਗੀਤਕਾਰ ਸਿਰਾ ਕਰਾਉਦੇ ️,91,1 year ago
54,Love you maan saab️,,5 months ago
55,The king of Punjabi industry legends of babbu maan Saab ️️️,8,1 year ago
56,This is for the culture️️️️️️,33,1 year ago
57,Abad Punjabi is the real and Punjabi culture of Punjab ️,19,9 months ago
58,"ਜਿੰਨੀ ਵਾਰ ਮਰਜ਼ੀ ਦੇਖ ਲਓ ਮਨ ਨੀ ਭਰਦਾ 

ਜਿਉਂਦਾ ਰਹਿ ਮਾਨਾ ",40,1 year ago
59,"No one can beat u sir... respect
No newcomer can defeat u",20,1 year ago
60,Great legend ️️,12,1 year ago
61,No one is better than you maan Saab ,7,9 months ago
62,ਇਕ ਬਾਈ ਬੱਬੂ ਮਾਨ ਹੀ ਆ ਜਿਸਦੇ ਗਾਣੇ sun k ਮਜ਼ਾ ਆਉਂਦਾ  respect ਬੱਬੂ ਮਾਨ ਬਾਈ,32,1 year ago
63,The real legend ,6,1 year ago
64,I am 12 and I listen Babu Maan songs and my father also loves Babu Maan ️,92,11 months ago
65,Maan saab jindabad,1,1 month ago
66,"I'm listening daily this song since releasing audio version 
Always feeling so  awesome and Rock ️️",59,1 year ago
67,Ustaad babbu maan ️,1,5 months ago
68,ਵਾਲ ਲੰਬੇ ਰੱਖ ਰੱਖ ਬੜੇ ਮੁੰਡੇ ਆਏ ਪਰ ਜੱਟੀਏ ਕੋਈ ਬੱਬੂ ਮਾਨ ਨੀ ਬਣਿਆ️,47,1 year ago
69,Beautiful lyrics,35,1 year ago
70,True pioneers….listening to Babbu and Jazzy for 3 decades!,39,1 year ago
71,"Best hookline ever — 
Baap of all gangster songs 
Thappad maarke adab punjabi asla kho lehnda ",6,4 months ago
72,Without paid promotion without add 8 M+ views original kataad fans power ,38,1 year ago
73,"Because this song is so long and has so many different versions, the first few seconds of good music are useful for extremely short videos.",1,3 months ago
74,Astaad ਦਾ ਗਾਣਾ ਕੌਣ ਕੌਣ repeat ਤੇ ਸੁਣ ਰਿਹਾ ਲਾਈਕ ਕਰਕੇ dso ️️,34,1 year ago
75,Eh hunda geet ,9,1 year ago
76,King  of live music ,2,1 year ago
77,Oho maan saab ji eh song ne tan siraa kra dita g love u tnu truck bhar k maan saab ji ️️️️️️️️️️️,1,3 months ago
78,Khant aala maan  On  repeat ️️️,12,1 year ago
79,Legend ,,1 month ago
80,"ਉਹ ਕਿਹੜੇ ਕਿਹੜੇ ਕੱਟੜ ਫੈਨ ਹਨ,
ਅੜਬ ਪੰਜਾਬੀ ਗਾਣੇ ਨੂੰ ਸੁਣਕੇ ਰੋਜ਼ ਆਨੰਦ ਲੈਂਦੇ ਹਨ,
Please like comment share jarur karo ji,",32,1 year ago
81,Wow Man sahib today you gave me the army of India and Proud of Singh Kom Aap hi se na muse wala who are still giving a new identity to Punjabi and Punjabi singing.,,5 months ago
82,"Is geet ne keyi jwaak ghoosewale warge rono laate c️️️
Forever song ",47,1 year ago
83,Legend bAbbu maan,1,1 month ago
84,"Thanks paaji, how much stress one is in , ek vaarry tuhada pure music one listens aidha lagdta bumbphi tey doobi maarey huye,  Tuhanu Saaari khushiyeah tanduroorsti wali lambhi umar dey.",6,10 months ago (edited)
85,Oh my gosh!!  legend ️ Babbu Maan ,17,1 year ago
86,Living legend always babu mann sir,5,6 months ago
87,Babbu maan .....legend,2,3 months ago
88,God father of Punjabi music industry  Babbu maan ustaad ,20,1 year ago
89,Jehre es geet te bheda comment krn aundia.. osto saaf aah eh geet krke kinna dukhi ne ,4,3 months ago
90,Sanitizer for Punjabi Music industry Love from Kashmir India ,51,1 year ago
91,Still & always on repeat,8,1 year ago
92,"Ustad ta ustad hi hunda
Love you️️ maan saab ️",7,1 year ago
93,Love this song adab punjabi ️️,5,4 months ago
94,ਸਿਰਾ ਲਾ ਦਿੱਤੀ ਗੱਲਬਾਤ ਬਾਈ ਨੇ   love you maan Saab,4,1 year ago
95,still on trending in 2022️️,,3 months ago
96,"ਜੋ ਮਰਜ਼ੀ ਹੋ ਜਾਵੇ ਪਰ ਉਸਤਾਦ ਹੋਰਾਂ ਵਾਂਗੂੰ ਪੰਜਾਬ ਤੇ ਪੰਜਾਬੀ ਨੂੰ ਨੀ ਭੁੱਲਦਾ, ਮੇਰਾ ਉਸਤਾਦ ਹੀਰਾ ਬੰਦਾ",128,1 year ago
97,real legend ,8,1 year ago
98,One and only ustad babbu maan ,6,1 year ago
99,God bless you maan sahib ji ,,4 months ago
100,Wah...22 ustad Punjabi singer da kya baat hai mzaa aagya shukr waheguru da asi babu maan ji de song sun ske baap baap hi hunda,1,11 months ago
101,"जिंदगी गुजर जाएगी लेकिन मान साब आपकी इज्जत हमेशा रहेगी ,,,,,,,,,,,,,,,,veer ji tussi great Ho ",7,3 weeks ago
102,ਪੂਰੀ ਅੱਤ ਵੀਡਉ ਆ ਮਾਨ ਦੀ ਅੱਜ ਕਿਸ ਕਿਸ ਨੂੰ ਏ ਮਾਣ ਮਹਿਸੂਸ ਹੋ ਰਿਹਾ ਕੇ ਅਸੀ ਮਾਨ ਸਾਬ ਦੇ ਕੱਟੜ ਫੈਨ ਆ ਤਾ ਮੇਰੇ ਸਾਰੇ ਕੱਟੜ ਫੈਨ ਵੀਰ ਕਰੋ ਇੱਥੇ ਲਾਇਕ ️️️️️️,107,1 year ago
103,End luck end singer end song love you maan saab ji babbu Maan zindabaad ️️️️️️️,9,9 months ago
104,Views comments doesn't matter but the thing he writes ,11,1 year ago
105,Wah wah kya baat hai superer ਬੱਲੇ ਉਏ ਪੰਜਾਬ dia ਸ਼ੇਰ ਬੱਬਰ,2,2 months ago
106,Att song proud of you maan Saab love you,21,1 year ago
107,Superhit bai,2,4 months ago
108,"ਜੌ ਜੌ ਮਾਨ ਸਾਬ ਦੇ ਕੱਟੜ fans ਨੇ  ਹਾਜਰੀ ਲਵਾਓ ਜੀ।।
Love you Maan Saab ️️️",25,1 year ago (edited)
109,"Eh song apneya bacheya nu sunaun vala hai... Eh hai Punjab da asli etihas, culture",2,1 year ago
110,Living legend ️️️️,6,1 year ago
111,Legend ,,4 months ago
112,Ajj de dour ch Ess toh best Folk song nhi ho sakdda..Respect Khantt Mann️️,5,1 year ago
113,Best geet . Agg c niri,1,4 months ago
114,"ਮਾਸ਼ੂਰੀ ਤੋਂ ਬਿਨਾਂ ਵੀ trending ਵਿਚ 
ਮੱਤ ਦੇਈ ਮਾਨ ਨੂੰ ਰੱਬਾ ਅਪੇ ਲਾ ਦੀ ਅੰਬਰ ਚੋਂ ਤਾਰੇ ",30,1 year ago (edited)
115,"ਬੱਬੂ ਮਾਨ ਨੇ  ਅੜਬ ਪੰਜਾਬੀ ਚ ਬਹੁਤਿਆਂ ਦੀਆਂ ਲਕੀਰਾਂ ਕਢਾ ਦਿੱਤੀਆਂ  , ਜਿਓੰਦੇ ਵੱਸਦੇ ਰਹੋ ਮਾਨ ਸਾਬ੍ਹ , ਤੁਹਾਡੀ ਲੰਬੀ ਉਮਰ ਤੇ  ਤੰਦਰੁਸਤੀ ਦੀ ਹਮੇਸ਼ਾ ਅਸਲ ਪੰਜਾਬੀ ਅਰਦਾਸ ਕਰਦੇ ਰਹਿਣਗੇ ",16,1 year ago
116,The king of industry legends of babbu maan Saab ️️️️️️️️️,2,1 year ago
117,I am biggest fannnn offff babu maan ,1,5 days ago
118,"Bahot sohna geet Babbu bai ...te odon sohni video hai ...Guru sahebaan te apne shaheed thode te hameshaan apna mehar bharya hathh rakhan. love & regards from Jammu  ...vaihe apaan te puraane fan haan bai, 'Pind pehra lagda hai' de time toh 
Read more",4,1 year ago
119,Babbu maan ️,,4 months ago
120,"ਅਸੀਂ ਸੁਣਦੇ ਰਹੀਏ ਤੁਸੀਂ ਇੰਝ ਹੀ ਗਾਉਂਦੇ ਰਹੋ,
ਪੰਜਾਬ ਅਤੇ ਪੰਜਾਬੀਅਤ ਦਾ ਦੁੱਖ ਵੰਡਾਉਂਦੇ ਰਹੋ,
ਪਲੀਜ ਲਾਈਕ ਕੁਮੈਂਟ ਸ਼ੇਅਰ ਜਰੂਰ ਕਰੋ ਜੀ,",79,1 year ago
121,Superb maan shab always proud upon you,,1 year ago
122,Real Singer Hero Sada Bai babbu Mann love you veere ,16,1 year ago
123,Kihne dirbe da akhada dekhia apne legend maan saab da,4,1 month ago (edited)
124,"20:10 Hermosa elección   Xxlike.Uno de los mejores conciertos 
Asi con toy y sus mañas no se la
Read more",22,9 months ago
125,Ustad babbu maan zindabad ️,1,2 months ago
126,Love you maan sabb ,5,1 year ago
127,Favourite song and favourite singer love u maan saab ji very respect from hoshiarpur. ...,,1 year ago
128,ਅੜਬ ਪੰਜਾਬੀ ,1,1 month ago
129,"Love you babu mann,for Arab punjabi,good presentation",10,1 year ago
130,ਬੱਬੂ ਮਾਨ,,3 months ago
131,ਸਿੱਖ ਮਿਸਲਾਂ ਦੇ ਜਰਨੈਲਾ ਨੂੰ ਝੁੱਕ ਕੇ ਸਲਾਮ ਕਰਾਂ,30,1 year ago
132,Guru of punjab industry ,,1 year ago
133,"ਜਾਗਰੂਕਤਾ ਲਈ ਧੰਨਵਾਦ, ਜੇ ਤੁਹਾਡੀ ਜਮੀਰ ਜਗਦੀ ਤੇ ਵਾਹਿਗੁਰੂ ਜੀ ਤੇ ਭਾਰੋਸਾ ਕਰੋ",,9 months ago
134,Forever song️,5,1 year ago
135,80 saal da baba deep singh ji very good,2,2 months ago
136,"ਅੱਜ ਪੂਰੇ 11 ਸਾਲ ਹੋ ਗਏ ਨੇ #ਏਕਮ ਆਈ ਨੂੰ 
ਕਿਸਾਨਾਂ ਦੇ ਹੱਕ ਚ #ਫਿਲਮ ਬਣਾਵੇਂ
#ਮਾਨ ਸੱਚ ਗੀਤਾਂ ਚ ਅਪਣੇ ਸੁਣਾਵੇਂ
 #SUCHA_SOORMA #Coming_soon
Read more",21,1 year ago
137,God father of industry ,57,1 year ago
138,The legend always legend Mr babu mann ️️,16,11 months ago
139,Babbu maan saab is king Punjabi music,1,3 weeks ago
140,Master of punjabi singing ,1,1 year ago
141, legend,1,1 month ago
142,ਚਾਹ ਦੇ ਨਾਲ ਬਈ ਦਾ ਗੀਤ ..... ਭੈਣਨਾ ਜਿਮੇ ਆਵਦੇ ਵਿਆਹ ਆਲੇ ਦਿਨ ਦਾ ਚਅ ਜਾ ਹੁੰਦਾ ..ਓਵੇਂ ਉਡੀਕ ਸੀ ਵੀਡੀਓ ਦੀ... ਸਹਿਮਤ ਓ,47,1 year ago
143,Babu maan is legendary singer,1,1 year ago
144,ਸਦਾਬਹਾਰ ਗੀਤ ️,48,1 year ago
145,A ohi adab panjabi a jo nishan sahib julan te roya c ,4,4 months ago
146,Best lyrics,5,1 year ago
147,Love you maan Saab,1,4 months ago
148,"ਵਿਦਿਆਰਥੀ ਕੌਣ ਕੌਣ ਸੁਣ ਰਹੇ ਹਨ ਠੋਕੋ ਲਾਈਕ 
ਬੱਬੂ ਮਾਨ ਸਾਬ ਜਿੰਦਾਬਾਦ ",65,1 year ago
149,Great of all time. REAL GOAT. ,8,1 year ago
150,You're really Legend . 🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰,41,1 year ago
151,22 ਯਾਰ ਮੈਂ ਵੀ ਗੀਤ ਰਿਕਾਰਡ ਕਰਵਾਉਣਾ ਲਾਇਕ ਕਰਕੇ ਮੇਰਾ ਹੌਂਸਲਾ ਵਧੳ ਜੀ,2,3 months ago
152,Really proud of you paaji. Respects ,,6 months ago
153,"ਏਕਾ ਸਾਡਾ ਬਣਿਆ ਰਹੇ #ਮਾਨਾਂ ਛੋਟਾ ਵੀਰ ਸਾਡਾ ਪਾਕਿਸਤਾਨ
#ਈਦ ਮੁਬਾਰਕ ਸਭਨੂੰ ਖੁਦਕੁਸ਼ੀ ਨਾ ਕਰੇ ਕੋਈ ਮਜਦੂਰ ਤੇ ਕਿਸਾਨ
#ਕਿਸਾਨ_ਮਜਦੂਰ_ਏਕਤਾ_ਜ਼ਿੰਦਾਬਾਦ",69,1 year ago
154,My favorite singer your voice is amazing,3,1 year ago
155,Respect for the legend ,15,1 year ago
156,Nice song ,2,2 months ago
157,One of my favourite song i can listen to this song all daykeep Rocking Jatta!️,3,11 months ago (edited)
158,ਅਸੀ ਬੋਲਦੇ ਨੀ ਸਾਡਾ ਇਤਹਾਸ ਬੋਲਦਾ ,,3 months ago
159,ਦਿਲ ਦੁਖੀ ਸੀ ਪਰ 22ਦਾ ਗੀਤ ਸੁਣ ਕੇ ਚਿਹਰੇ ਤੇ ਖੁਸ਼ੀ ਆ ਗਈ,50,1 year ago
160,ਉਸਤਾਦ ਸਿਰਾ ਲਾਉਦਾ ਹਮੇਸ਼ਾ,1,1 year ago
161,Original Legend Babbu maan ustaad ,14,1 year ago
162,Real Hero  Mann Sahib,,1 month ago
163,Hjar bar vekh ke b song Dil ni bhrda maan saab ️️ real singing swaad agya schi ️,,10 months ago
164,"ਸੱਤ ਸ਼੍ਰੀ ਅਕਾਲ ਜੀ ਮਿਲਦੇ ਆ ਜੀ
15 ਨਵੰਬਰ 2022 (ਖੁੱਲਾ ਅਖਾੜਾ)
ਪਿੰਡ ਕੁਬਾਹੇੜੀ (ਜ਼ਿਲਾਂ ਮੋਹਾਲੀ)
ਸਮਾ ਕੱਢ ਕੇ ਆ ਜਾਈ ਜਾਣ ਦੀ ਕਰੀ ਨਾ ਕਾਹਲੀ
Read more",2,11 days ago
165,ਬਾਬਾ ਬੰਦਾ ਸਿੰਘ ਬਹਾਦਰ ਜੀ ਮੇਰਾ ਹੀਰੋ ਹੈ,106,1 year ago
166,Still favourite ,7,1 year ago
167,Great song legend,7,1 year ago
